                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.5007,                 1.4077,                 1.1991,                  0.377,                0.41792,                0.39349,                0.15262,                 2.2942,                 2.3767,                 1.7801,               0.000557,               0.000557,               0.000557
                     58,                 1.5788,                 1.4269,                 1.1963,                0.39751,                 0.5075,                0.36562,                0.12494,                  2.299,                  2.356,                 1.7602,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.4489,                 1.3086,                 1.1444,                0.39751,                 0.5075,                0.36562,                0.12494,                  2.299,                  2.356,                 1.7602,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.4306,                 1.2544,                 1.1233,                0.42623,                0.47755,                0.41059,                0.13952,                 2.2931,                 2.2968,                 1.7757,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.5284,                 1.4784,                 1.2447,                0.42623,                0.47755,                0.41059,                0.13952,                 2.2931,                 2.2968,                 1.7757,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.5093,                 1.3653,                 1.1691,                0.48564,                0.48348,                0.47774,                 0.1688,                 2.2059,                 2.3054,                 1.7024,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.4597,                 1.4358,                 1.1967,                0.48564,                0.48348,                0.47774,                 0.1688,                 2.2059,                 2.3054,                 1.7024,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.4077,                  1.408,                 1.1788,                0.40575,                0.41421,                  0.421,                0.16618,                 2.1548,                 2.3476,                 1.6249,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.5986,                 1.3629,                  1.219,                0.40575,                0.41421,                  0.421,                0.16618,                 2.1548,                 2.3476,                 1.6249,               0.000458,               0.000458,               0.000458
                     66,                  1.525,                 1.4316,                 1.2099,                0.49185,                 0.3625,                0.42824,                0.15865,                 2.1521,                 2.3347,                 1.6019,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.4316,                 1.2036,                 1.1189,                0.49185,                 0.3625,                0.42824,                0.15865,                 2.1521,                 2.3347,                 1.6019,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.5705,                 1.4421,                 1.1531,                0.76798,                   0.32,                0.41796,                0.14733,                 2.1724,                 2.2915,                 1.6178,             0.00042087,             0.00042087,             0.00042087
                     69,                 1.4633,                 1.2783,                 1.1467,                0.76798,                   0.32,                0.41796,                0.14733,                 2.1724,                 2.2915,                 1.6178,              0.0004085,              0.0004085,              0.0004085
                     70,                  1.463,                   1.47,                 1.1979,                 0.4491,                0.40837,                0.38009,                0.14051,                 2.2056,                 2.2478,                 1.6679,             0.00039613,             0.00039613,             0.00039613
                     71,                 1.3429,                 1.1579,                 1.0971,                 0.4491,                0.40837,                0.38009,                0.14051,                 2.2056,                 2.2478,                 1.6679,             0.00038375,             0.00038375,             0.00038375
                     72,                 1.4094,                 1.2495,                 1.1572,                0.49356,                 0.4875,                0.44874,                0.17505,                 2.2332,                 2.1597,                 1.7486,             0.00037138,             0.00037138,             0.00037138
                     73,                  1.366,                 1.1993,                 1.1598,                0.49356,                 0.4875,                0.44874,                0.17505,                 2.2332,                 2.1597,                 1.7486,               0.000359,               0.000359,               0.000359
                     74,                 1.4519,                 1.3323,                 1.1842,                0.54784,                 0.5148,                0.48865,                0.21476,                  2.208,                 2.1249,                 1.7354,             0.00034663,             0.00034663,             0.00034663
